scope,subset,score,biomarker,days,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_spearman_r,abs_pearson_r,spearman_q_bh,pearson_q_bh
recovery_97_180,hls_only,raw_RAG,temporal_choroidal_thickness_mm,"97,104,118,180",17,-0.8246221313020757,4.652117399039942e-05,-0.7100758533915842,0.0014047605206883,0.7100758533915842,0.8246221313020757,0.1648229919728847,0.0176165762207747
day_180,all,cohort_day_centered_RAG,temporal_choroidal_thickness_mm,180,14,-0.7324906220348502,0.0028884223738172,-0.6674025000565449,0.0091126306596,0.6674025000565449,0.7324906220348502,0.2087027915476559,0.0807125549736646
day_180,all,raw_RAG,temporal_choroidal_thickness_mm,180,14,-0.73249062203485,0.0028884223738172,-0.6674025000565449,0.0091126306596,0.6674025000565449,0.73249062203485,0.2087027915476559,0.0807125549736646
day_14,all,raw_RAG,linear_choroidal_thickness_mm,14,14,-0.4665898006559552,0.0925938046844218,-0.6600505831011273,0.0102037171342406,0.6600505831011273,0.4665898006559552,0.2087027915476559,0.3839404749619777
day_14,all,cohort_day_centered_RAG,linear_choroidal_thickness_mm,14,14,-0.4665898006559552,0.0925938046844218,-0.6600505831011273,0.0102037171342406,0.6600505831011273,0.4665898006559552,0.2087027915476559,0.3839404749619777
day_104,all,raw_RAG,temporal_retinal_thickness_mm,104,14,-0.5475042217414529,0.0427073275697573,-0.6593003732826295,0.010320467713895,0.6593003732826295,0.5475042217414529,0.2087027915476559,0.262002256776264
day_104,all,cohort_day_centered_RAG,temporal_retinal_thickness_mm,104,14,-0.5475042217414529,0.0427073275697573,-0.6593003732826295,0.010320467713895,0.6593003732826295,0.5475042217414529,0.2087027915476559,0.262002256776264
day_180,all,cohort_day_centered_RAG,nasal_retinal_thickness_mm,180,15,-0.8084613444219607,0.0002641370025082,-0.6464285714285712,0.0092145506899799,0.6464285714285712,0.8084613444219607,0.2087027915476559,0.0360547008423789
day_180,all,raw_RAG,nasal_retinal_thickness_mm,180,15,-0.8084613444219606,0.0002641370025082,-0.6464285714285712,0.0092145506899799,0.6464285714285712,0.8084613444219606,0.2087027915476559,0.0360547008423789
recovery_97_180,hls_only,cohort_day_centered_RAG,temporal_choroidal_thickness_mm,"97,104,118,180",17,-0.6225259560985804,0.0076098051098286,-0.5503702116253109,0.0220651674687264,0.5503702116253109,0.6225259560985804,0.3089123445621696,0.1233245668450407
