scope,subset,score,biomarker,days,n,dof,resid_pearson_r,resid_pearson_p,abs_resid_pearson_r,resid_pearson_q_bh
recovery_97_180,hls_only,raw_RAG,temporal_choroidal_thickness_mm,"97,104,118,180",17,13.0,-0.8485484946522667,1.66644749814817e-05,0.8485484946522667,0.0035828621210185
recovery_97_180,hls_only,cohort_day_centered_RAG,temporal_choroidal_thickness_mm,"97,104,118,180",17,13.0,-0.8485484946522667,1.66644749814817e-05,0.8485484946522667,0.0035828621210185
day_180,all,cohort_day_centered_RAG,nasal_retinal_thickness_mm,180,15,13.0,-0.8325616477931358,0.000117236384998,0.8325616477931358,0.0126029113872953
day_180,all,raw_RAG,nasal_retinal_thickness_mm,180,15,13.0,-0.8325616477931357,0.000117236384998,0.8325616477931357,0.0126029113872953
day_180,all,cohort_day_centered_RAG,nasal_choroidal_thickness_mm,180,15,13.0,-0.7543489624024153,0.0011560091311477,0.7543489624024153,0.0445068211037614
day_180,all,raw_RAG,nasal_choroidal_thickness_mm,180,15,13.0,-0.7543489624024152,0.0011560091311477,0.7543489624024152,0.0445068211037614
recovery_97_180,hls_only,raw_RAG,temporal_retinal_thickness_mm,"97,104,118,180",17,13.0,-0.7434584673214185,0.0006249267951543,0.7434584673214185,0.040803660669768
recovery_97_180,hls_only,cohort_day_centered_RAG,temporal_retinal_thickness_mm,"97,104,118,180",17,13.0,-0.7434584673214184,0.0006249267951543,0.7434584673214184,0.040803660669768
day_180,all,raw_RAG,temporal_retinal_thickness_mm,180,14,12.0,-0.7274761178659097,0.0031903915530764,0.7274761178659097,0.0857417729889308
day_180,all,cohort_day_centered_RAG,temporal_retinal_thickness_mm,180,14,12.0,-0.7274761178659097,0.0031903915530764,0.7274761178659097,0.0857417729889308
